0,Station Name,Station No.,Station ID,Station Type,Station Easting,Station Northing
103,Dreghorn,133078,36066,Flow,235114.0007,638426.0003
104,Drumlanrig,133154,36304,Flow,285776.0007,599307.0001
105,Duchray,14904,36510,Flow,246804.0007,698722.9996
106,Duchray Water,554833,38402,Flow,240996.0007,702975.0004
107,Dunphail,234206,37268,Flow,300541.0008,848032.0003
108,Durkadale,234207,37272,Flow,329532.0008,1025280
109,Earlston,14997,36822,Flow,356547.0008,638794.9996
110,Eas Daimh,133081,36074,Flow,223886.0007,727602.0004
111,East Linton,14870,36408,Flow,359091.0008,676807.9999
112,Easter Turnaig,234209,37278,Flow,240305.0007,900145.0005
113,Eglinton Castle,133083,36078,Flow,231579.0007,642058.9996
114,Ellon,234210,37282,Flow,394684.0008,830370.0005
115,Elphin,368495,37962,Flow,221229.0007,910988.0004
116,Elrig,14905,36516,Flow,246959.0007,698750.9996
117,Eyemouth Mill,15017,36866,Flow,394151.0009,663553.0001
118,Faich Bhiorach,378262,38014,Flow,181910.0006,872602.9998
119,Fairholm,133084,36082,Flow,275373.0008,651878.9999
120,Fasnakyle,234215,37286,Flow,231526.0007,828751.0005
121,Fauld Mill,14895,36490,Flow,291355.0008,692339
122,Feshie Bridge,234217,37290,Flow,284986.0007,804711
123,Fiddlers Ford,133155,36308,Flow,292860.0008,579520.9994
124,Firhall,234218,37294,Flow,288266.0007,855044.9996
125,Forres,234221,37298,Flow,301853.0008,858387.0005
126,Forteviot Bridge,14970,36748,Flow,304401.0007,718327
127,Friars Carse,133156,36312,Flow,292346.0008,585120.9999
128,Gaidrew,133086,36086,Flow,248465.0007,686587.9996
129,Galashiels,9683,38500,Flow,347979.0008,637364.9997
130,Gargunnock,14892,36480,Flow,271411.0008,695257.9997
131,Garve,234225,37302,Flow,239538.0007,861705.9999
132,Gella Bridge,14916,36550,Flow,337278.0008,765336.0001
133,Glen Orchy,133087,36090,Flow,224259.0007,731917.0004
134,Glen Strae,133088,36094,Flow,215033.0007,729929.9998
135,Glenbreck,368490,37940,Flow,306706.0008,621904.9996
136,Glenfalloch,133089,36100,Flow,232106.0007,719470.0002
137,Glenfield Footbridge,335374,37648,Flow,242996.0007,636996
138,Glenlochar,133157,36316,Flow,273360.0007,564114.9997
139,Glenmeanie,234227,37306,Flow,228649.0007,852779.9996
140,Glenochil,14891,36474,Flow,285815.0007,696072.9995
141,Gordon Arms,14984,36790,Flow,330857.0008,624724.9997
142,Grange,234228,37310,Flow,349350.0008,850613.9999
143,Grantown,234229,37314,Flow,303340.2108,826833.1205
144,Graystone Bridge,518372,38290,Flow,257995.0007,688427.9995
145,Green Burn,133158,36320,Flow,248057.0007,579085.9996
146,Greensands,133159,36326,Flow,296781.0008,576191.9998
147,Guthrie,14924,36582,Flow,356798.0008,750325.9997
148,Halkirk,234231,37318,Flow,313123.0008,959561.0006
149,Hall Bridge,133160,36330,Flow,268410.0007,612970
150,Halladale,234232,37324,Flow,289125.0007,956081.0001
151,Happendon,133092,36104,Flow,285567.0007,633336.9996
152,Haughton,234235,37328,Flow,375677.0008,820149.9997
153,Hawick,15001,36830,Flow,352200.0008,615880.9996
154,Hawkhead,133093,36108,Flow,249886.0008,662918.0003
155,Hazelbank,133094,36112,Flow,283531.0007,645322.9994
156,Headswood,14886,36454,Flow,283180.0007,681818.0005
157,Hermitage,8402,38492,Flow,301320.0007,742158
158,Heugh Head,234237,37332,Flow,368703.0008,792799.9996
159,Hoodston Bridge,133096,36116,Flow,247110.0007,636854.9999
160,Howard Park,322555,37606,Flow,242667.0007,637394.9997
161,Huntly GS,369548,37974,Flow,351641.0008,840809.0003
162,Inverbervie,234241,37340,Flow,382648.0008,773370.0001
163,Inverbroom,234242,37344,Flow,218407.0007,884203.0003
164,Invergairn,234243,37348,Flow,335231.0008,797050.0004
165,Inveriscandye,371579,37988,Flow,361828.0008,767769.0001
166,Inverlochy,133097,36120,Flow,219692.0007,727471
167,Invermark,14926,36590,Flow,344393.0008,780360.0002
168,Invermuick,234247,37352,Flow,336423.0008,794759.0001
169,Invertruim,234248,37356,Flow,268753.5007,796466.0397
170,Inverugie,234249,37360,Flow,410113.0008,848515.9997
171,Jedburgh,15006,36842,Flow,365550.0008,621411.9995
172,Johnstonehall,559082,38432,Flow,322110.0008,575164.9998
173,Kelly Den - Arbilot,532820,38328,Flow,360726.0008,740239.0001
174,Kemback,14929,36604,Flow,341452.0008,715796
175,Kenmore,8295,38488,Flow,278214.0007,746705.9997
176,Kerrow Wood,234251,37364,Flow,235449.0007,832076.0002
177,Kilbirnie,494257,38152,Flow,231583.0007,654717.9995
178,Killermont,133099,36124,Flow,255839.0008,670531.9997
179,Killiecrankie,14958,36702,Flow,290080.0008,763515.0004
