0,Station Name,Station No.,Station ID,Station Type,Station Easting,Station Northing
107,Dalbeattie,133151,36292,Level,282132.0007,561017.9997
108,Daldowie,133074,36056,Level,267184.0008,661675.9998
109,Dalgig,133152,36296,Level,255849.0007,612788.9995
110,Dalginross,14967,36734,Level,277901.0008,722070.9997
111,Dalhousie Bridge,14925,36586,Level,359152.0008,768050.0002
112,Dalmore,14873,36416,Level,325208.0008,661611.9995
113,Dalnamein,14960,36710,Level,274692.0007,769406.0003
114,Dalry,116020,35986,Level,229375.0007,648737.9996
115,Damleys Cottage,14912,36536,Level,315663.0008,704025.0002
116,Dargall Lane,133153,36300,Level,245069.0007,578706.0002
117,Dean Bridge,14946,36650,Level,329300.0008,745815.0004
118,Deephope,14986,36800,Level,327799.0008,613758.9997
119,Delnashaugh,234198,37252,Level,318500.0008,835182
120,Dionard,234330,37548,Level,235688.0007,960107.0001
121,Dippen,133077,36060,Level,179727.0006,637672.9995
122,Diriebught House,234200,37258,Level,267753.0007,845238.0005
123,Dosmucheran,234202,37262,Level,220463.0007,860186.0002
124,Dow Craig,133183,36386,Level,253969.0007,611668.9998
125,Dreghorn,133078,36066,Level,235114.0007,638426.0003
126,Drumlanrig,133154,36304,Level,285776.0007,599307.0001
127,Dryfield,133080,36070,Level,263792.0007,673913.9995
128,Duchray,14904,36510,Level,246804.0007,698722.9996
129,Duchray Water,554833,38402,Level,240996.0007,702975.0004
130,Dunphail,234206,37268,Level,300541.0008,848032.0003
131,Durkadale,234207,37272,Level,329532.0008,1025280
132,Earlston,14997,36822,Level,356547.0008,638794.9996
133,Eas Daimh,133081,36074,Level,223886.0007,727602.0004
134,East Linton,14870,36408,Level,359091.0008,676807.9999
135,Easter Turnaig,234209,37278,Level,240305.0007,900145.0005
136,Eglinton Castle,133083,36078,Level,231579.0007,642058.9996
137,Ellon,234210,37282,Level,394684.0008,830370.0005
138,Elphin,368495,37962,Level,221229.0007,910988.0004
139,Elrig,14905,36516,Level,246959.0007,698750.9996
140,Erchless,377135,38010,Level,242559.0007,840562.9999
141,Eyemouth Mill,15017,36866,Level,394151.0009,663553.0001
142,Faich Bhiorach,378262,38014,Level,181910.0006,872602.9998
143,Fairholm,133084,36082,Level,275373.0008,651878.9999
144,Fasnakyle,234215,37286,Level,231526.0007,828751.0005
145,Fauld Mill,14895,36490,Level,291355.0008,692339
146,Feshie Bridge,234217,37290,Level,284986.0007,804711
147,Fiddlers Ford,133155,36308,Level,292860.0008,579520.9994
148,Firhall,234218,37294,Level,288266.0007,855044.9996
149,Forres,234221,37298,Level,301853.0008,858387.0005
150,Forter,14948,36658,Level,318665.0008,764697.9996
151,Forteviot Bridge,14970,36748,Level,304401.0007,718327
152,Fountainhall,14991,36814,Level,343213.0008,649620.9994
153,Foyers,498342,38170,Level,250340.0007,821840.0002
154,Friars Carse,133156,36312,Level,292346.0008,585120.9999
155,Gaidrew,133086,36086,Level,248465.0007,686587.9996
156,Gairlochy,559194,38436,Level,217986.0007,784330.0002
157,Galashiels,9683,38500,Level,347979.0008,637364.9997
158,Gargunnock,14892,36480,Level,271411.0008,695257.9997
159,Garthdee,368014,37930,Level,392566.0008,803105
160,Garve,234225,37302,Level,239538.0007,861705.9999
161,Gella Bridge,14916,36550,Level,337278.0008,765336.0001
162,Glassgreen,581106,38476,Level,322681.0007,860965.9997
163,Glen Orchy,133087,36090,Level,224259.0007,731917.0004
164,Glen Strae,133088,36094,Level,215033.0007,729929.9998
165,Glenbreck,368490,37940,Level,306706.0008,621904.9996
166,Glenfalloch,133089,36100,Level,232106.0007,719470.0002
167,Glenfield Footbridge,335374,37648,Level,242996.0007,636996
168,Glenlochar,133157,36316,Level,273360.0007,564114.9997
169,Glenmeanie,234227,37306,Level,228649.0007,852779.9996
170,Glenochil,14891,36474,Level,285815.0007,696072.9995
171,Gordon Arms,14984,36790,Level,330857.0008,624724.9997
172,Grange,234228,37310,Level,349350.0008,850613.9999
173,Grantown,234229,37314,Level,303340.2108,826833.1205
174,Grantshouse,15015,36862,Level,381829.0009,665508.9999
175,Graystone Bridge,518372,38290,Level,257995.0007,688427.9995
176,Green Burn,133158,36320,Level,248057.0007,579085.9996
177,Greensands,133159,36326,Level,296781.0008,576191.9998
178,Guthrie,14924,36582,Level,356798.0008,750325.9997
179,Halkirk,234231,37318,Level,313123.0008,959561.0006
180,Hall Bridge,133160,36330,Level,268410.0007,612970
181,Halladale,234232,37324,Level,289125.0007,956081.0001
182,Happendon,133092,36104,Level,285567.0007,633336.9996
183,Haughton,234235,37328,Level,375677.0008,820149.9997
184,Hawick,15001,36830,Level,352200.0008,615880.9996
185,Hawkhead,133093,36108,Level,249886.0008,662918.0003
186,Hazelbank,133094,36112,Level,283531.0007,645322.9994
187,Headswood,14886,36454,Level,283180.0007,681818.0005
188,Hermitage,8402,38492,Level,301320.0007,742158
189,Heugh Head,234237,37332,Level,368703.0008,792799.9996
190,Hoodston Bridge,133096,36116,Level,247110.0007,636854.9999
191,Hottsbridge,559081,38428,Level,325563.0008,577955
192,Howard Park,322555,37606,Level,242667.0007,637394.9997
193,Huntly GS,369548,37974,Level,351641.0008,840809.0003
194,Hutton Castle,15020,279903,Level,388077.04,655082.57
195,Innerleithen,14981,36786,Level,333274.0008,636771.0003
196,Inveran,234240,37336,Level,257412.0007,897418.0003
197,Inverbervie,234241,37340,Level,382648.0008,773370.0001
198,Inverbroom,234242,37344,Level,218407.0007,884203.0003
199,Invergairn,234243,37348,Level,335231.0008,797050.0004
200,Inveriscandye,371579,37988,Level,361828.0008,767769.0001
201,Inverlaidnan Bridge,535718,38354,Level,286520.0007,821170.0006
202,Inverlochy,133097,36120,Level,219692.0007,727471
203,Invermark,14926,36590,Level,344393.0008,780360.0002
204,Invermuick,234247,37352,Level,336423.0008,794759.0001
205,Inveroykel Bailey Bridge,354624,37862,Level,246079.0007,901229.9999
206,Invertruim,234248,37356,Level,268753.5007,796466.0397
207,Inverugie,234249,37360,Level,410113.0008,848515.9997
208,Inzion,335641,37696,Level,327967.0008,755904.9999
209,Irvine Waterside,327231,37620,Level,231651.0007,639160.9998
210,Ivy Bridge,341495,37822,Level,249689.0008,828073.0003
211,Jedburgh,15006,36842,Level,365550.0008,621411.9995
212,Johnstonehall,559082,38432,Level,322110.0008,575164.9998
213,Kelly Den - Arbilot,532820,38328,Level,360726.0008,740239.0001
214,Kemback,14929,36604,Level,341452.0008,715796
215,Kenmore,8295,38488,Level,278214.0007,746705.9997
216,Kerrow Wood,234251,37364,Level,235449.0007,832076.0002
217,Kilbirnie,494257,38152,Level,231583.0007,654717.9995
218,Killermont,133099,36124,Level,255839.0008,670531.9997
219,Killiecrankie,14958,36702,Level,290080.0008,763515.0004
220,Killilan,234252,37368,Level,193875.0007,830553.0003
221,Killin,14933,36616,Level,256401.0007,731994.9999
222,Kilphedir,234253,37374,Level,299848.0008,918206.0006
223,Kilwinning,133101,36128,Level,230685.0007,642408.9994
224,Kinbuck,14890,36470,Level,279225.0008,705376.0004
225,Kincraig,234254,37380,Level,283550.0008,805631.9995
226,Kindrogan,14955,36692,Level,305619.0008,763025.9999
227,Kingledores,14972,36756,Level,310875.0008,628540.9996
228,Kinkell Bridge,14968,36738,Level,293313.0007,716652.0001
229,Kinlochewe Lodge,471362,38066,Level,203430.0007,861926.0004
230,Kinrara,234257,37384,Level,288166.0008,808237.0005
231,Kinross,14903,36506,Level,311809.0008,701570.0001
232,Kirkfieldbank,124855,36000,Level,286699.0007,644009.9999
233,Kirkmuirhill,133102,36132,Level,280979.0008,642909.9997
234,Kirkton Burn,116005,35952,Level,253245.0007,721928.9997
235,Kirkton Mill,14923,36578,Level,365466.0008,749432.9995
236,Kirktown of Fetteresso,463690,38038,Level,385272.0008,785564.0004
237,Ladyflat Farm,368486,37934,Level,376908.0009,651507.0002
238,Lagganbeg,396186,38018,Level,242700.0007,687149.9998
239,Langholm A,133103,36136,Level,250770.0007,621755.0002
240,Langholm Bridge,506155,38222,Level,336340.0008,584663.0002
241,Langwell Lodge,354621,37844,Level,216731.0006,902603.9997
242,Lathro,14902,36500,Level,311503.0008,704113.0003
243,Lauder (New Mills),14996,36818,Level,352632.0008,649806.9999
244,Laxdale,356217,37870,Level,109930.0006,897079.9999
245,Laxford Bridge,234260,37388,Level,225146.0007,946531.9997
246,Lennox Castle,133104,36140,Level,261519.0007,678594.9994
247,Lennoxlove,14874,36420,Level,351108.0008,671699.0002
248,Letham,133105,36144,Level,256785.0008,654929.0003
249,Levishie,234262,37392,Level,240218.0008,817473.0006
250,Liberton,14876,36424,Level,327249.0008,670780.9999
251,Limmerhaugh,542772,38394,Level,261872.0008,626954.0002
252,Lindean,14990,36810,Level,348637.0008,631546.9995
253,Links Farm,368493,37954,Level,317713.0008,738671.0004
254,Linnbrane,133107,36152,Level,239409.0007,680307.0001
255,Little Assynt,234264,37396,Level,214712.0007,924949.0003
256,Littlemill,234265,37402,Level,332248.0008,795484.9997
257,Loakmill No 2,474477,38090,Level,307247.0008,734321.0003
258,Loch A Bhraoin,356328,37884,Level,215608.0007,875168.0004
259,Loch Ailsh Level,354613,37838,Level,231577.0007,910138.0006
260,Loch Ard,554837,38414,Level,249715.0007,701661.0003
261,Loch Beannacharain,473090,38074,Level,222881.0007,851822.0004
262,Loch Dee Outlet,133163,36334,Level,247811.0007,579675
