0,Station Name,Station No.,Station ID,Station Type,Station Easting,Station Northing
100,Deskry Shiel,335582,37664,Rain,340620.0008,810380.0003
101,Dingwall,115329,35632,Rain,253864.0007,859294.0002
102,Dippen,133077,36060,Rain,179727.0006,637672.9995
103,Dipple,115217,35528,Rain,333451.0008,858466.0005
104,Doonholm,115554,35784,Rain,233872.0007,617547.9999
105,Dosmucheran,234202,37262,Rain,220463.0007,860186.0002
106,Drum,464646,38058,Rain,304989.0008,700191.9996
107,Drumgrain,115556,35788,Rain,256000.0007,660100.0003
108,Drumjohn,115557,35792,Rain,252494.0008,597541
109,Drummore of Cantray,377134,38006,Rain,279819.0008,845444.0007
110,Duchray,14904,36510,Rain,246804.0007,698722.9996
111,Dunbar,15216,37104,Rain,367200.0009,679100.0002
112,Dunblane Raingauge,523237,38306,Rain,277538.0007,701233
113,Dundreggan Rain Gauge,530175,38324,Rain,232858.0007,814598.0005
114,Dunecht House,115220,35532,Rain,375108.0009,807738.0002
115,Dungrianach,115558,35796,Rain,196066.0007,744970.9995
116,Dunlop,115559,35800,Rain,241215.0007,648891.0004
117,Dunnottar Radio Station,509196,38236,Rain,387200.0008,783937.9997
118,Dunnswood STW (Cumbernauld),15180,37052,Rain,278118.0007,677194.0001
119,Dunstaffnage,365257,37906,Rain,188107.0007,734010.9999
120,Durkadale,234207,37272,Rain,329532.0008,1025280
121,Earlsburn reservoir RG,568155,38452,Rain,270867.0007,688356.9996
122,East Kilbride,115560,35804,Rain,263802.0007,653403.9998
123,Edinburgh RBG (Royal Botanic Garden),15201,37076,Rain,324424.0008,675509.9998
124,Einig Wood,492363,38138,Rain,236460.0007,898335.0004
125,Eliock,115562,35808,Rain,279666.0008,607397.9999
126,Eskdalemuir Observatory,15100,36948,Rain,323500.0008,602599.9999
127,Esslemont House,115221,35536,Rain,393340.0008,830521.0001
128,Ettrick Bay,115563,35812,Rain,203204.0007,667066.0002
129,Fife Airport,15151,37016,Rain,324215.0008,699452.0003
130,Fiskavaig,336233,37742,Rain,133105.0006,834199.9998
131,Flichity,115339,35636,Rain,266344.0008,828934.0002
132,Forehill,336372,37758,Rain,409490.0008,846249.9999
133,Forfar STW,15044,36884,Rain,344300.0008,750300.0003
134,Forsinain,115340,35640,Rain,290632.0007,948484.9999
135,Forter,14948,36658,Rain,318665.0008,764697.9996
136,Fortingall - Croftgarrow,534520,38346,Rain,272613.0007,746497
137,Foss Mine,15097,36940,Rain,281742.0007,754462.0001
138,Fourmerkland,115565,35816,Rain,310114.0008,586550.9998
139,Frenich Farm,552790,38398,Rain,241360.0007,706770.0001
140,Gairnshiel,115223,35540,Rain,329467.0008,800714.9999
141,Gargunnock,14892,36480,Rain,271411.0008,695257.9997
142,Garls Craig,301168,37570,Rain,297668.0008,609189.0002
143,Garrogie Lodge,464495,38046,Rain,252393.0007,811449.0003
144,Gartmore (Glenhead),15165,37036,Rain,251951.0007,697104.9996
145,Gatelawbridge,115568,35820,Rain,290083.0007,596541.9998
146,Gateside No 2,15051,36892,Rain,318296.0008,709376.9995
147,Gella Bridge,14916,36550,Rain,337278.0008,765336.0001
148,Gifford Rain Gauge,474984,38094,Rain,352003.0008,666633.9998
149,Gilston,15114,36968,Rain,344714.0008,656682.9997
150,Gladhouse Reservoir,15204,37080,Rain,330010.0008,654463.9999
151,Glen Ample,335745,37710,Rain,259833.0007,720341.0001
152,Glen Nevis,115343,35644,Rain,212780.0007,771720.0003
153,Glen Strae,133088,36094,Rain,215033.0007,729929.9998
154,Glenbreck,368490,37940,Rain,306706.0008,621904.9996
155,Glendessary,115344,35648,Rain,196750.0007,792670.0004
156,Glengavel Reservoir,536846,38374,Rain,266390.0007,635014.9996
157,Glenkindie No 2,520118,38298,Rain,342463.0008,814473.0001
158,Glenmavis,327238,37640,Rain,274200.0008,668549.9997
159,Glenmore Lodge No 2,115225,35544,Rain,298640.0008,809400.0005
160,Glenmuick No2,367371,37922,Rain,330680.0008,785064.0003
161,Glenochil,14891,36474,Rain,285815.0007,696072.9995
162,Glenquey,464636,38054,Rain,298237.0008,702857.9999
163,Glenrinnes Knowe,115226,35548,Rain,328900.0008,835600.0002
164,Gogarbank,15196,37064,Rain,316200.0008,671400.0004
165,Gordon Arms,14984,36790,Rain,330857.0008,624724.9997
166,Gordon Hospital,15138,37008,Rain,365867.0008,643335.0003
167,Green Burn,133158,36320,Rain,248057.0007,579085.9996
168,Greenland,115348,35652,Rain,324730.0008,966860.0006
169,Greenock,327292,37644,Rain,229981.0007,675646.9997
170,Gullane (Golf Course),15210,37084,Rain,347944.0008,682709.9995
171,Haddington STW,15226,37116,Rain,353260.0008,674419.9995
172,Halkirk,234231,37318,Rain,313123.0008,959561.0006
173,Hallmanor House,15105,36960,Rain,321000.0008,635100.0003
174,Harelaw,335614,37676,Rain,332172.0008,669802.9997
175,Harelaw Chirnside,15131,37000,Rain,387595.0008,657648.9997
176,Harperrig,15200,37072,Rain,310207.0008,661298.0004
177,Hatton (Perth),335640,37692,Rain,360200.0008,737199.9995
178,Hatton No 2,115227,35552,Rain,405523.0009,837473.0006
179,Hawick Sewage Works,15121,36980,Rain,351207.0008,615541.9997
180,Hazelwood Cottage,115582,35824,Rain,183695.0007,713788.0004
181,High Corrie (Gartmore),15166,37040,Rain,248039.0007,695304.0001
182,Hungry Snout 2 (Whiteadder Reservoir),15127,36992,Rain,366319.0008,663327.0002
183,Hunterston Terminal,469625,38062,Rain,220500.0007,653829.9996
184,Hydro Gardens Moffat,115584,35828,Rain,307946.0008,606307
185,Inchnadamph No 2,115353,35656,Rain,224796.0007,922178.9999
186,Inchvuilt,115354,35660,Rain,222430.0007,839189.9996
187,Ingleston Farm,115585,35832,Rain,260878.0007,548467.9993
188,Insch No 2,115229,35556,Rain,362969.0008,828163.9996
189,Inshes,336367,37750,Rain,269005.0008,842300.0001
190,Inverewe Garden,115356,35664,Rain,186200.0006,881719.9997
191,Inverey,115230,35560,Rain,308888.0008,789280.9998
192,Invermark,14926,36590,Rain,344393.0008,780360.0002
193,Inveruglas,115588,35836,Rain,232004.0007,709402.9995
194,Inverurie,367365,37918,Rain,378245.0008,818684.9999
195,Irvine Gailes,115589,35840,Rain,232245.0007,635876
196,Jedburgh,15006,36842,Rain,365550.0008,621411.9995
197,Jedburgh Castle,541725,38386,Rain,364882.0008,619747.9997
198,Keith,367360,37910,Rain,343119.0008,851593.0003
199,Killermont Raingauge,341380,37818,Rain,256020.0007,671065.9995
200,Killilan,234252,37368,Rain,193875.0007,830553.0003
201,Killin,14933,36616,Rain,256401.0007,731994.9999
202,Kilphedir,234253,37374,Rain,299848.0008,918206.0006
203,Kilspindie,15211,37088,Rain,345600.0008,680400.0002
204,Kinbuck,14890,36470,Rain,279225.0008,705376.0004
205,Kindrogan,14955,36692,Rain,305619.0008,763025.9999
206,Kinghorn Ecology Centre Rain Gauge,473550,38082,Rain,325810.0008,687509
207,Kingsbarns,15062,36904,Rain,358956.0008,713281.0003
208,Kinkell Bridge,14968,36738,Rain,293313.0007,716652.0001
209,Kinmount House,115596,35844,Rain,313674.0008,569323.9996
210,Kirkcaldy,335617,37680,Rain,328720.0008,692249.9996
211,Kirkcowan,115598,35848,Rain,232678.0007,561147.9997
212,Kirkcudbright Raingauge,504458,38202,Rain,269202.0007,551973.9995
213,Kirkwall,515885,38266,Rain,345535.0008,1011397.001
214,Kirriemuir STW,361048,37896,Rain,338811.0008,752451.9999
215,Kirriereoch,115599,35852,Rain,236207.0007,587069.0004
216,Knockanrock,115363,35668,Rain,218651.0007,908800.0001
217,Ladyflat Farm,368486,37934,Rain,376908.0009,651507.0002
218,Lagafater Lodge,115600,35856,Rain,213933.0007,575968.0002
219,Lanark B,115602,35860,Rain,287875.0007,644339.0001
220,Lanark STW,115603,35864,Rain,287153.0008,643781.0004
221,Langwell Lodge,354621,37844,Rain,216731.0006,902603.9997
222,Lathro,14902,36500,Rain,311503.0008,704113.0003
223,Laxdale,356217,37870,Rain,109930.0006,897079.9999
224,Lecht Weather Station,412495,38022,Rain,324032.0008,812638.9996
225,Letham Grange,338381,37788,Rain,362680.0008,745959.9994
226,Lewis-Carishader,335979,37730,Rain,109720.0006,933330
227,Lingerton,133106,36148,Rain,186758.0007,685233.0003
228,Little Assynt,234264,37396,Rain,214712.0007,924949.0003
229,Loch Ailsh Level,354613,37838,Rain,231577.0007,910138.0006
230,Loch Droma,115368,35672,Rain,225267.0007,875273.0002
231,Loch Of Hundland,115369,35676,Rain,329700.0008,1025670
232,Loch Restil,485489,38102,Rain,223249.0007,708495.9998
233,Loch Tormasad,354622,37850,Rain,82187.00066,864894
234,Lochboisdale,458798,38034,Rain,78651.00062,819628.9997
235,Lochcarron,115370,35680,Rain,190122.0007,839808.0001
236,Lochindorb North,336847,37772,Rain,298500.0008,837310.0004
237,Lochwinnoch,509677,38240,Rain,235886.0007,658129.9995
238,Lossiemouth,473167,38078,Rain,321267.0008,870704.0002
239,Low Creoch,115611,35868,Rain,259728.0008,558729.0002
240,Lower Black Laggan,115612,35872,Rain,246949.0007,577747.9993
241,Lower Diabaig,115374,35688,Rain,179390.0006,860329.9996
242,Luffness,14865,36390,Rain,348865.0008,681117.0002
243,Luib,115376,35692,Rain,213140.0007,854790
244,Lukeston,327237,37636,Rain,260300.0007,679099.9996
245,Luss Raingauge,129558,36004,Rain,235956.0007,692710.0005
